uid,truth_values
0.0,0.26637395211717785
0.1,0.5229586715751755
0.2,0.24852083926701996
0.3,0.6183016244297149
0.4,0.13115691248847205
0.5,0.8993712473462815
0.6,0.1378224201496785
0.7,0.3170051569290965
0.8,0.06180873879930926
0.9,0.37656600060748757
0.10,0.10256430327328381
0.11,0.2606809632989693
0.12,0.8631093479486692
0.13,0.013488582197687338
0.14,0.5261681606407128
0.15,0.6899523320765768
0.16,0.6308030132615764
0.17,0.5509582175046661
0.18,0.9791852740471764
0.19,0.9542943604754407
0.20,0.336507631874297
0.21,0.3838237273297429
0.22,0.7052692634130004
0.23,0.5859739275731647
0.24,0.07868092508926339
0.25,0.2669051323037306
0.26,0.2909286573228086
0.27,0.74439734588186
0.28,0.18575286238190625
0.29,0.9879507645209931
0.30,0.24961061354652647
0.31,0.5118382568168034
0.32,0.8709048381426852
0.33,0.1651208760032763
0.34,0.1726803552094508
0.35,0.564835863454937
0.36,0.1526112134598656
0.37,0.6364831814058494
0.38,0.26667071842145407
0.39,0.122049731615684
0.40,0.9848510339383082
0.41,0.006590347354162862
0.42,0.22845539432069117
0.43,0.3703594807724021
0.44,0.3102791360805416
0.45,0.7792685274611154
0.46,0.7561473942506288
0.47,0.54596999653035
0.48,0.24193235023701654
0.49,0.4438588686640458
0.50,0.1227315969138637
0.51,0.5436656738817122
0.52,0.041960147155964855
0.53,0.4282028658236534
0.54,0.20688377081015608
0.55,0.5673212331819916
0.56,0.34048811173217197
0.57,0.45860427014459393
0.58,0.5889137962241573
0.59,0.4362456439457434
0.60,0.23874542589014036
0.61,0.3221131838230128
0.62,0.026747271006317908
0.63,0.20371706417788482
0.64,0.9772386085059027
0.65,0.8122458333417434
0.66,0.013108415301819942
0.67,0.28654162010690154
0.68,0.336632510082308
0.69,0.01674897185496338
0.70,0.02196267109604977
0.71,0.025014839969248026
0.72,0.7521241952150372
0.73,0.4210578218764234
0.74,0.7485243007985101
0.75,0.4619775663719874
0.76,0.042382226715909854
0.77,0.6468058518000716
0.78,0.45538284474848445
0.79,0.37111851602984147
0.80,0.8303742904974781
0.81,0.3922568042607286
0.82,0.9807101895736584
0.83,0.0030985010421884507
0.84,0.9759338365952916
0.85,0.00530096084893017
0.86,0.8160837130203841
0.87,0.9744594045236858
0.88,0.1642548482528
0.89,0.08846823794763803
0.90,0.42026008645638036
0.91,0.08018241037705998
0.92,0.9875898942213953
0.93,0.5560644417422862
0.94,0.507274486894047
0.95,0.7553391771224194
0.96,0.5450247866215916
0.97,0.2772235856638746
0.98,0.749737765958561
0.99,0.37497294643712087
1.0,0.9360222549618867
1.1,0.6035040027112339
1.2,0.9341129757372564
1.3,0.5667172433143455
1.4,0.877348243247819
1.5,0.610006909315534
1.6,0.3905367469671177
1.7,0.998481440250164
1.8,0.3365000770727894
1.9,0.2854269620430214
1.10,0.5083743448316563
