uid,data1
0.0,0.8167150275670221
0.1,0.4260634484200979
0.2,0.032500308648801046
0.3,0.3739545019154459
0.4,0.5517071189692152
0.5,0.7701977636423946
0.6,0.6362548702675488
0.7,0.9915491324539716
0.8,0.5868811154493095
0.9,0.4087014998871369
0.10,0.2901841193406238
0.11,0.5663644198255479
0.12,0.9684786898072764
0.13,0.11804030033053159
0.14,0.030432518540921327
0.15,0.2185550130822509
0.16,0.2672464726700098
0.17,0.3821186434843479
0.18,0.823486055407276
0.19,0.20024236303223386
0.20,0.338553627213277
0.21,0.27648693730100926
0.22,0.9928550120042418
0.23,0.10035116175312853
0.24,0.4710672891247365
0.25,0.6905578249531353
0.26,0.02716591238198285
0.27,0.3162393329467318
0.28,0.21287413566361912
0.29,0.8204857685632756
0.30,0.32101445049878796
0.31,0.07339196081863997
0.32,0.03803103152314424
0.33,0.5986391621646552
0.34,0.5434702797685492
0.35,0.47048485751040814
0.36,0.49038409689919715
0.37,0.5676718911870273
0.38,0.2939159250707408
0.39,0.6713061150178049
0.40,0.4052319450200288
0.41,0.1816085663902921
0.42,0.5140993879178412
0.43,0.6796909753549362
0.44,0.28921704349052635
0.45,0.9988677171093912
0.46,0.18204839978120946
0.47,0.8800801454648209
0.48,0.5783277895650901
0.49,0.8402980329332814
0.50,0.8936478752287179
0.51,0.6115842738994918
0.52,0.9047474625720587
0.53,0.25662195598635973
0.54,0.131372370750104
0.55,0.4387500767833532
0.56,0.767465826134509
0.57,0.11978438019942628
0.58,0.14882411248734828
0.59,0.5704237656864019
0.60,0.9081334835353188
0.61,0.2719520841841562
0.62,0.593177958778616
0.63,0.5162235618916668
0.64,0.5777326609630373
0.65,0.20317487485538366
0.66,0.4780665625197995
0.67,0.15097314313288057
0.68,0.20185784806038154
0.69,0.5982320987192882
0.70,0.15667715290752404
0.71,0.6310055789483472
0.72,0.22200582095558685
0.73,0.5091813268871646
0.74,0.5103021439224217
0.75,0.2914958060145959
0.76,0.3229159538132941
0.77,0.431715309367817
0.78,0.2831864216531147
0.79,0.9074237149624726
0.80,0.13173666010916796
0.81,0.389520531540146
0.82,0.3998315477071923
0.83,0.4971308410551797
0.84,0.6371896387187758
0.85,0.2225789262384641
0.86,0.9906405331221586
0.87,0.39679206190389704
0.88,0.4562868137648074
0.89,0.6702399154149382
0.90,0.32849255918355325
0.91,0.6656186368279168
0.92,0.9964634353911377
0.93,0.5784215908256208
0.94,0.2423295703301711
0.95,0.8353058302955092
0.96,0.689993240244284
0.97,0.7370003879124518
0.98,0.4441892638944952
0.99,0.3029466759289947
1.0,0.4201381116988958
1.1,0.288069606276221
1.2,0.15438958606157493
1.3,0.9686283718058887
1.4,0.2546140854787282
1.5,0.2699639852962574
1.6,0.5497351668790897
1.7,0.15529684993919313
1.8,0.7027664333160957
1.9,0.813598126127839
1.10,0.3762259096547099
1.11,0.240722761003628
1.12,0.6035939290790117
1.13,0.07139997841368706
1.14,0.8916800568632884
1.15,0.28104426878204014
1.16,0.7330260017223335
1.17,0.7029524071433529
1.18,0.4476311809791129
1.19,0.7779343995407518
1.20,0.8483154912221592
1.21,0.25258943524677213
1.22,0.29850804392323516
1.23,0.31652037406374023
1.24,0.64822425167142
1.25,0.8425985783849678
1.26,0.420145032297325
1.27,0.1936834001491896
1.28,0.3633268868973313
1.29,0.42575822955246456
1.30,0.502012146513081
1.31,0.8717532510057557
1.32,0.5845878598599139
1.33,0.6975493877597798
1.34,0.37294572708126195
1.35,0.020686185063831686
1.36,0.4788792730826408
1.37,0.2932221784126865
1.38,0.7729698017735652
1.39,0.5054052979456353
1.40,0.2935516182853837
1.41,0.21819865142787576
1.42,0.8442193449654922
1.43,0.640721047840567
1.44,0.8900482159221669
1.45,0.44729808152458905
1.46,0.14490763444171617
1.47,0.7544867933263045
1.48,0.330839279108461
1.49,0.989866259484882
1.50,0.8869720052779331
1.51,0.7457520080944284
1.52,0.9887761920970312
1.53,0.1107154024312651
1.54,0.05338449822068736
1.55,0.2881744485293427
1.56,0.1899131633133776
1.57,0.27799776796348696
1.58,0.29620339725408307
1.59,0.8508781454840291
1.60,0.703110809847425
1.61,0.5965866488580955
1.62,0.35631149663939776
1.63,0.46348586559296334
1.64,0.9310695329809486
1.65,0.951232628878034
1.66,0.23247382981709575
1.67,0.21590087577639605
1.68,0.4006655488516929
1.69,0.8983408736883021
1.70,0.5308603918928319
1.71,0.9766651941699532
1.72,0.21077380077630303
1.73,0.46989663074656973
1.74,0.33286160266156317
1.75,0.26746045557382503
1.76,0.4634944724643756
1.77,0.7934717319352679
1.78,0.3489700239166249
1.79,0.9215360711969027
1.80,0.39990304800511256
1.81,0.5809986313795211
1.82,0.4467004928465713
1.83,0.9982581811266569
1.84,0.0013860999832874255
1.85,0.4820101727681263
1.86,0.8343335320892948
1.87,0.6189385022468669
1.88,0.817969168135541
1.89,0.9684508504120699
1.90,0.6517125803300342
1.91,0.11019234295385683
1.92,0.010520886822466657
1.93,0.6341988284774033
1.94,0.45800291724900066
1.95,0.9913807000247663
1.96,0.6286447216009637
1.97,0.7715869135573867
1.98,0.4133847901771269
1.99,0.41564418397783165
2.0,0.5012804182287235
2.1,0.7678154581337507
2.2,0.6324121434461851
2.3,0.29741920102200103
2.4,0.04359125874231118
2.5,0.06108439012277911
2.6,0.791005852798493
2.7,0.2891724759037899
2.8,0.951413135481184
2.9,0.6392631648906316
2.10,0.7997377497938332
2.11,0.3601641251795076
2.12,0.9455059307969194
2.13,0.7172158187388625
2.14,0.7517251718788701
2.15,0.77909719682912
2.16,0.43788812784826137
2.17,0.7033580324559278
2.18,0.6764384576732727
2.19,0.850260105863292
2.20,0.10433024537955848
2.21,0.36619586986222985
2.22,0.8603866649944466
2.23,0.013109839211289942
2.24,0.02085066834892746
2.25,0.16767899778588302
2.26,0.3011262054662479
2.27,0.415857367879122
2.28,0.7895887178955924
2.29,0.48205324859113463
2.30,0.9506453602073737
2.31,0.11603976249483228
2.32,0.7333425861637699
2.33,0.25811547204571295
2.34,0.2620802157787494
2.35,0.9219141010832693
2.36,0.1663703985417
2.37,0.10349532762872671
2.38,0.8601273538902489
2.39,0.994949710395707
2.40,0.8811824035371927
2.41,0.16028781068095665
2.42,0.8646704681727492
2.43,0.8218276639344986
2.44,0.36077573638861027
2.45,0.4280244989744012
2.46,0.680592287056705
2.47,0.9006469188895356
2.48,0.9157740608250353
2.49,0.7651953922619185
2.50,0.23509149779072924
2.51,0.08161969754616483
2.52,0.6707553310974196
2.53,0.954893691206301
2.54,0.7542719330850909
2.55,0.6710652263424768
2.56,0.58506584419706
2.57,0.4991975040961485
2.58,0.0008877396312479968
2.59,0.7463692686455666
2.60,0.9228253873755945
2.61,0.3250178594458958
2.62,0.9810711811072241
2.63,0.9398554820939298
2.64,0.9399363550963067
2.65,0.25039651021633214
2.66,0.6087687678831977
2.67,0.438375397182735
2.68,0.7017733453726062
2.69,0.892038710083818
2.70,0.15566847553881646
2.71,0.7231272756794463
2.72,0.7712844321794722
2.73,0.8262491908966968
2.74,0.08815074431840719
2.75,0.6781339812006938
2.76,0.7872863948629685
2.77,0.6246635610065482
2.78,0.6683636522908897
2.79,0.010597581875985251
2.80,0.6117140377912395
2.81,0.8801875393124903
2.82,0.9864155929696613
2.83,0.3227033317959782
2.84,0.050839798081473764
2.85,0.44444388866386675
2.86,0.42564402445541405
2.87,0.7923550370067869
2.88,0.9035303090286478
2.89,0.5206892171704087
2.90,0.34821091591485354
2.91,0.22862232486871525
2.92,0.7723513666352051
2.93,0.7745657540799212
2.94,0.22739107250119905
2.95,0.5882758298836382
2.96,0.6717429807450831
2.97,0.7555153671637457
2.98,0.2678161869811184
2.99,0.6633790582951553
3.0,0.3558841122789749
3.1,0.9974488598396536
3.2,0.32396590554986093
